index,Vac,Pso,Paco,Pdco,Vdco,C0,C1,C2,C3,Pnt,Vdcmax,Idcmax,Mppt_low,Mppt_high,CEC_Date,CEC_Type,CEC_hybrid
ABB__TRIO_27_6_TL_OUTD_S1B_US_480_A__480V_,480,92.134544,27600.0,28199.173828,715.0,-2.513804e-07,-3.1e-05,-0.001336,-0.001753,8.28,800.0,39.439404,520.0,800.0,,Utility Interactive,
ABB__TRIO_27_6_TL_OUTD_S1B_US_480__480V_,480,92.134544,27600.0,28199.173828,715.0,-2.513804e-07,-3.1e-05,-0.001336,-0.001753,8.28,800.0,39.439404,520.0,800.0,,Utility Interactive,
ABB__TRIO_27_6_TL_OUTD_S1_US_480_A__480V_,480,92.134544,27600.0,28199.173828,715.0,-2.513804e-07,-3.1e-05,-0.001336,-0.001753,8.28,800.0,39.439404,520.0,800.0,,Utility Interactive,
ABB__TRIO_27_6_TL_OUTD_S1_US_480__480V_,480,92.134544,27600.0,28199.173828,715.0,-2.513804e-07,-3.1e-05,-0.001336,-0.001753,8.28,800.0,39.439404,520.0,800.0,,Utility Interactive,
ABB__TRIO_27_6_TL_OUTD_S_US_480_A__480V_,480,92.134544,27600.0,28199.173828,715.0,-2.513804e-07,-3.1e-05,-0.001336,-0.001753,8.28,800.0,39.439404,520.0,800.0,,Utility Interactive,
ABB__TRIO_27_6_TL_OUTD_S_US_480__480V_,480,92.134544,27600.0,28199.173828,715.0,-2.513804e-07,-3.1e-05,-0.001336,-0.001753,8.28,800.0,39.439404,520.0,800.0,,Utility Interactive,
ABB__TRIO_50_0_TL_OUTD_US_480__480V_,480,143.487045,50000.0,50881.769531,720.0,-1.28775e-07,-2.4e-05,0.001013,-0.000319,1.0,800.0,70.669124,520.0,800.0,10/15/2018,Utility Interactive,
ABB__TRIO_60_0_TL_OUTD_US_480__480V_,480,144.161957,60000.0,61110.542969,720.0,-1.222009e-07,-2e-05,0.000759,-0.000953,0.8,800.0,84.875754,570.0,800.0,10/15/2018,Utility Interactive,
ABB__TRIO_TM_60_0_US_480__480V_,480,138.403458,60000.0,61112.183594,720.0,-1.4012e-07,-3.4e-05,0.000537,-0.001296,18.0,800.0,84.878033,570.0,800.0,10/15/2018,Grid Support,
ABB__ULTRA_1100_TL_OUTD_1_US_690_x_y_z__690V_,690,5365.187988,1154000.0,1199392.25,746.0,-2.257912e-08,-4.9e-05,-0.000294,-0.000665,346.2,800.0,1607.76441,585.0,800.0,,Utility Interactive,
ABB__ULTRA_1100_TL_OUTD_2_US_690_x_y_z__690V_,690,4403.666504,1000000.0,1039766.75,746.0,-2.616954e-08,-4.8e-05,-0.000727,-0.00108,300.0,800.0,1393.789209,585.0,800.0,,Utility Interactive,
ABB__ULTRA_1100_TL_OUTD_3_US_690_x_y_z__690V_,690,5076.038574,1170000.0,1215132.375,746.0,-2.266039e-08,-4.3e-05,-0.00056,-0.000729,351.0,800.0,1628.863773,585.0,800.0,,Utility Interactive,
ABB__ULTRA_1100_TL_OUTD_4_US_690_x_y_z__690V_,690,4451.37207,1000000.0,1036900.125,746.0,-2.436821e-08,-4e-05,-0.000528,-0.000677,300.0,800.0,1389.946548,585.0,800.0,,Utility Interactive,
ABB__ULTRA_1500_TL_OUTD_1_US_690_x_y_z__690V_,690,6686.954102,1550000.0,1609782.25,746.0,-1.682793e-08,-5.4e-05,-0.000824,-0.001639,465.0,800.0,2157.885054,585.0,800.0,,Utility Interactive,
ABB__ULTRA_1500_TL_OUTD_2_US_690_x_y_z__690V_,690,6264.385254,1500000.0,1557690.125,746.0,-1.658342e-08,-4.3e-05,-0.000357,-0.000838,450.0,800.0,2088.056468,585.0,800.0,,Utility Interactive,
ABB__ULTRA_1500_TL_OUTD_3_US_690_x_y_z__690V_,690,6650.321777,1560000.0,1616435.25,746.0,-1.624451e-08,-5.1e-05,-0.000698,-0.001517,468.0,800.0,2166.803284,585.0,800.0,,Utility Interactive,
ABB__ULTRA_1500_TL_OUTD_4_US_690_x_y_z__690V_,690,6610.497559,1500000.0,1553867.625,746.0,-1.716466e-08,-4.6e-05,-0.000448,-0.001059,450.0,800.0,2082.932473,585.0,800.0,,Utility Interactive,
ABB__ULTRA_750_TL_OUTD_1_US_690_x_y_z__690V_,690,3171.661621,780000.0,812837.6875,746.0,-3.057713e-08,-5.4e-05,-0.000577,-0.001191,234.0,800.0,1089.594755,585.0,800.0,,Utility Interactive,
ABB__ULTRA_750_TL_OUTD_2_US_690_x_y_z__690V_,690,3196.542236,750000.0,782179.4375,746.0,-3.485425e-08,-4.9e-05,-0.000487,-0.000865,225.0,800.0,1048.497905,585.0,800.0,,Utility Interactive,
ABB__ULTRA_750_TL_OUTD_3_US_690_x_y_z__690V_,690,3567.959229,780000.0,811466.6875,746.0,-3.372871e-08,-5.1e-05,0.000102,-0.000631,234.0,800.0,1087.756954,585.0,800.0,,Utility Interactive,
ABB__ULTRA_750_TL_OUTD_4_US_690_x_y_z__690V_,690,3394.897461,750000.0,779732.1875,746.0,-3.220744e-08,-5e-05,-0.000487,-0.001434,225.0,800.0,1045.21741,585.0,800.0,,Utility Interactive,
